,repo,state,merged_at,closed_at,created_at,author,title
14,rootbeer,closed,,2020-02-10 08:28:56,2020-02-10 08:28:13,,
24,rootbeer,closed,,2019-11-18 11:04:33,2019-11-15 04:00:11,,
28,rootbeer,closed,,2019-02-05 15:13:35,2018-12-04 08:09:09,,
34,backpack,closed,,2021-11-10 16:19:45,2021-11-10 15:41:27,,
45,backpack,closed,,2021-10-12 15:33:43,2021-10-12 14:25:23,,
46,backpack,closed,,2021-10-12 13:38:34,2021-10-11 15:29:48,,
60,k-9,closed,,2021-11-08 21:47:35,2021-11-08 21:46:47,,
74,k-9,closed,,2021-10-05 15:29:38,2021-10-05 15:26:00,,
77,k-9,closed,,2021-10-05 14:26:44,2021-10-04 14:30:50,,
110,gpslogger,closed,,2021-05-22 10:16:17,2021-05-21 21:32:45,,
116,gpslogger,closed,,2021-05-22 14:44:34,2020-03-07 13:47:04,,
117,gpslogger,closed,,2021-05-22 14:42:05,2020-03-02 11:41:11,,
